overall_pick,player,position,raw_model_v4_score,confidence_cap,final_review_score,component_weight_available,guardrail_states,position_format_factor,expected_uncapped_format_score,sprint14e_format_score,sprint14e_evidence_state,final_score_rank,recomputed_sprint14e_rank,frozen_rank,refresh_candidate_rank,candidate_rank_shift,classification,finding
3,Jeremiyah Love,RB,92.2002,0.88,81.1362,0.83,none,1.0,67.343,67.343,executed_sprint14e,2,1,1,1,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
8,Jordyn Tyson,WR,87.1281,0.88,76.6727,0.83,none,1.0,63.6383,63.6383,executed_sprint14e,3,2,2,2,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
20,Makai Lemon,WR,83.5565,0.88,73.5297,0.83,none,1.0,61.0297,61.0297,executed_sprint14e,4,3,3,3,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
108,Jonah Coleman,RB,77.7887,0.88,68.4541,0.83,model_edge_weirdness:day_three_exceptional_profile,1.0,56.8169,56.8169,executed_sprint14e,6,4,4,4,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
125,Skyler Bell,WR,77.137,0.88,67.8806,0.83,model_edge_weirdness:day_three_exceptional_profile,1.0,56.3409,56.3409,executed_sprint14e,7,5,5,5,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
39,Denzel Boston,WR,75.258,0.88,66.227,0.83,none,1.0,54.9684,54.9684,executed_sprint14e,8,6,6,6,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
161,Emmett Johnson,RB,74.3789,0.88,65.4534,0.83,model_edge_weirdness:day_three_exceptional_profile,1.0,54.3263,54.3263,executed_sprint14e,9,7,7,7,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
4,Carnell Tate,WR,73.7555,0.88,64.9048,0.83,none,1.0,53.871,53.871,executed_sprint14e,10,8,8,8,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
94,Chris Bell,WR,73.583,0.88,64.753,0.83,none,1.0,53.745,53.745,executed_sprint14e,11,9,9,9,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
30,Omar Cooper Jr.,WR,73.322,0.88,64.5234,0.83,none,1.0,53.5544,53.5544,executed_sprint14e,12,10,10,10,0,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
79,Zachariah Branch,WR,69.3333,0.88,61.0133,0.83,none,1.0,50.641,50.641,executed_sprint14e,14,11,11,12,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
47,Germie Bernard,WR,68.7877,0.88,60.5332,0.83,none,1.0,50.2426,50.2426,executed_sprint14e,15,12,12,13,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
84,Ted Hurst,WR,72.8358,0.84,61.1821,0.83,none,1.0,50.7811,50.0,watchlist_data_incomplete,13,13,13,14,1,INTENTIONAL_AUTHORITY_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
24,KC Concepcion,WR,83.3094,0.84,69.9799,0.83,none,1.0,58.0833,50.0,watchlist_data_incomplete,5,14,14,15,1,INTENTIONAL_AUTHORITY_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
74,Malachi Fields,WR,66.7432,0.88,58.734,0.83,none,1.0,48.7492,48.7492,executed_sprint14e,16,15,15,16,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
83,Chris Brazzell II,WR,67.6064,0.84,56.7894,0.83,none,1.0,47.1352,47.1352,executed_sprint14e,17,16,16,17,1,COMPONENT_WEIGHT_OR_EVIDENCE_GATE,"NO_RANKING_DEFECT; Sprint14E format score, not final analyzer score, is the frozen rank key"
