field,source_artifact_column,source_dataset,status,display_surface,caveat
Availability context present,nwr_player_id + identity_join_status + review_required,guardrail_static,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,"Only when identity_join_status=SAFE_NOW_DISPLAY_ONLY and review_required=false."
Identity status,identity_join_status,rosters,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Identity review rows show Review needed only.
Identity caveat,identity_caveat,rosters,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Safe rows only.
Roster status,roster_status,rosters,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Missing remains Not enough information; not clean/safe by assumption.
Weekly roster status,weekly_roster_status,weekly_rosters,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Missing remains Not enough information; not inactive by assumption.
Injury report status,injury_report_status,injuries,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Missing remains Not enough information; not healthy.
Practice status,practice_status,injuries,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Missing remains Not enough information.
Injury report date/week,injury_report_date_week,injuries,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Report-week context only; not a per-game denominator.
Last active season/week,last_active_season + last_active_week,player_stats_weekly,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Factual last active context only; not a recommendation.
Snap recency,snap_count_recency,snap_counts,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Missing remains Not enough information; not zero.
Snap sample size,snap_sample_size,snap_counts,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Missing remains Not enough information; not zero.
Age context,roster_birth_date_derived_age + age_source,rosters,SAFE_NOW,Player Compare Injury / Availability; Rankings Data Review,Display-only age source context.
Schedule context,next_game_context + opponent_context + bye_context,schedules,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Docs/status only,Current/future schedule context has 0 safe rows and remains Not enough information.
games_while_rostered,not present in tracked artifact,not_applicable,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Deferred,Needs approved denominator artifact.
games_with_snaps,not present in tracked artifact,not_applicable,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Deferred,Needs approved denominator artifact.
games_with_recorded_stats,not present in tracked artifact,not_applicable,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Deferred,Needs approved denominator artifact.
games_missed_while_rostered,not present in tracked artifact,not_applicable,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Deferred,Must not infer cause.
per_game_denominator,not present in tracked artifact,not_applicable,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Deferred,Needs approved denominator artifact.
dynamic season anchors,not present in tracked artifact,refresh_metadata,YELLOW_NEEDS_PLAYER_CONTEXT_ARTIFACT_EXTENSION,Deferred,Needs explicit tracked display field.
ff_rankings,not consumed,ff_rankings,BLOCKED,None,Blocked source policy.
