fixture_id,fixture_name,fixture_type,status,review_severity,players,missing_players,expected_behavior,actual_behavior,receipt_explanation,disagreement_classification,likely_cause,next_action
rb_elite_order_001,Elite RB anchor ordering,expected_ordering,ready,high,Bijan Robinson|Jahmyr Gibbs|De'Von Achane|Christian McCaffrey|Kyren Williams|Ashton Jeanty,,Bijan and Gibbs should anchor the elite RB tier; Achane should be core; McCaffrey can remain high but age and injury must be visible; Kyren needs workload and injury receipts; Jeanty is review-only young prior until NFL evidence exists,"Bijan Robinson=75.24 (overall 1, RB1, usable); Jahmyr Gibbs=73.98 (overall 2, RB2, usable); De'Von Achane=62.55 (overall 5, RB4, usable); Christian McCaffrey=31.31 (overall 27, RB7, usable); Kyren Williams=69.58 (overall 3, RB3, usable); Ashton Jeanty=20.75 (overall 35, RB9, weak); Bijan/Gibbs anchor this fixture group in v4 preview.","Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jahmyr Gibbs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Christian McCaffrey: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Kyren Williams: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ashton Jeanty: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Ordering expectation is met in review-only preview.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_bijan_rb1_002,Bijan RB1 sanity,expected_review_if_disagrees,ready,high,Bijan Robinson,,Bijan should be RB1 or the model must produce an unusually strong receipt-backed explanation,"Bijan Robinson=75.24 (overall 1, RB1, usable); Bijan is RB1 in the preview.","Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Sanity anchor is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_gibbs_near_bijan_003,Gibbs near Bijan sanity,expected_review_if_disagrees,ready,medium,Bijan Robinson|Jahmyr Gibbs,,Gibbs should sit near Bijan in the elite RB tier; large separation requires receipt-backed explanation,"Bijan Robinson=75.24 (overall 1, RB1, usable); Jahmyr Gibbs=73.98 (overall 2, RB2, usable); value gap is 1.26.","Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jahmyr Gibbs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Gibbs is near Bijan.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_achane_core_004,Achane core RB sanity,expected_tier,ready,high,De'Von Achane,,Achane should be treated as an elite or core dynasty RB unless injury role or confidence receipts explain a downgrade,"De'Von Achane=62.55 (overall 5, RB4, usable); all listed players clear the core-tier review threshold.","De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Tier expectation is met in preview.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_cmc_age_visible_005,McCaffrey age-dropoff visibility,expected_receipt_explanation,ready,medium,Christian McCaffrey,,McCaffrey may score highly but age and injury/dropoff must appear visibly in receipts,"Christian McCaffrey=31.31 (overall 27, RB7, usable); required receipt sections are present.","Christian McCaffrey: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_jeanty_young_prior_006,Jeanty young prior separation,expected_lifecycle,ready,high,Ashton Jeanty,,Jeanty must be treated as year_one_nfl_bridge or incoming-style young prior and not as established veteran production,"Ashton Jeanty=20.75 (overall 35, RB9, weak); lifecycle labels match fixture expectation.","Ashton Jeanty: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Lifecycle expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_elite_tier_001,Elite WR tier sanity,expected_tier,review,high,Jaxon Smith-Njigba|Puka Nacua|Ja'Marr Chase|Justin Jefferson|Amon-Ra St. Brown|CeeDee Lamb|Malik Nabers,,These players should land in a core or elite WR tier unless receipts show source-backed injury role identity or data problems,"Jaxon Smith-Njigba=49.93 (overall 15, WR6, usable); Puka Nacua=46.57 (overall 18, WR9, usable); Ja'Marr Chase=66.08 (overall 4, WR1, usable); Justin Jefferson=55.65 (overall 10, WR3, usable); Amon-Ra St. Brown=56.86 (overall 8, WR2, usable); CeeDee Lamb=49.64 (overall 16, WR7, usable); Malik Nabers=52.21 (overall 11, WR4, usable); Jaxon Smith-Njigba, Puka Nacua, CeeDee Lamb is below core-tier threshold or has weak confidence.","Jaxon Smith-Njigba: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Puka Nacua: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ja'Marr Chase: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Justin Jefferson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Amon-Ra St. Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; CeeDee Lamb: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Malik Nabers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",data gap,"Jaxon Smith-Njigba, Puka Nacua, CeeDee Lamb is below core-tier threshold or has weak confidence.",Inspect source coverage and receipts before changing formulas.
wr_jsn_top_tier_002,JSN top-tier WR sanity,expected_review_if_disagrees,review,high,Jaxon Smith-Njigba,,JSN should be top-tier WR; if not then the model must explain source gaps role assumptions or formula pressure,"Jaxon Smith-Njigba=49.93 (overall 15, WR6, usable); Jaxon Smith-Njigba is below review threshold or has weak confidence.","Jaxon Smith-Njigba: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",data gap,Jaxon Smith-Njigba is below review threshold or has weak confidence.,Inspect source coverage and receipts before changing formulas.
wr_jsn_vs_tee_003,JSN vs Tee Higgins,expected_ordering,ready,high,Jaxon Smith-Njigba|Tee Higgins,,JSN should generally rank above Tee in dynasty value; Tee above JSN is a review finding requiring receipts,"Jaxon Smith-Njigba=49.93 (overall 15, WR6, usable); Tee Higgins=46.62 (overall 17, WR8, usable); listed ordering is met.","Jaxon Smith-Njigba: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Tee Higgins: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Ordering expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_puka_core_004,Puka core WR sanity,expected_tier,review,medium,Puka Nacua,,Puka should remain core or elite unless receipts show verified injury or role collapse,"Puka Nacua=46.57 (overall 18, WR9, usable); Puka Nacua is below core-tier threshold or has weak confidence.","Puka Nacua: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",data gap,Puka Nacua is below core-tier threshold or has weak confidence.,Inspect source coverage and receipts before changing formulas.
