fixture_id,fixture_name,fixture_type,status,review_severity,players,missing_players,expected_behavior,actual_behavior,receipt_explanation,disagreement_classification,likely_cause,next_action
rb_elite_order_001,Elite RB anchor ordering,expected_ordering,ready,high,Bijan Robinson|Jahmyr Gibbs|De'Von Achane|Christian McCaffrey|Kyren Williams|Ashton Jeanty,,Bijan and Gibbs should anchor the elite RB tier; Achane should be core; McCaffrey can remain high but age and injury must be visible; Kyren needs workload and injury receipts; Jeanty is review-only young prior until NFL evidence exists,"Bijan Robinson=76.58 (overall 2, RB2, usable); Jahmyr Gibbs=75.31 (overall 3, RB3, usable); De'Von Achane=63.66 (overall 12, RB8, usable); Christian McCaffrey=32.78 (overall 56, RB14, usable); Kyren Williams=70.58 (overall 8, RB7, usable); Ashton Jeanty=21.94 (overall 69, RB17, weak); Bijan/Gibbs anchor this fixture group in v4 preview.","Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jahmyr Gibbs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Christian McCaffrey: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Kyren Williams: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ashton Jeanty: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Ordering expectation is met in review-only preview.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_bijan_rb1_002,Bijan RB1 sanity,expected_review_if_disagrees,review,high,Bijan Robinson,,Bijan should be RB1 or the model must produce an unusually strong receipt-backed explanation,"Bijan Robinson=76.58 (overall 2, RB2, usable); Bijan is RB2, not RB1.","Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",formula issue,"Bijan is RB2, not RB1.",Do not tune blindly; inspect component weights and named receipts.
rb_gibbs_near_bijan_003,Gibbs near Bijan sanity,expected_review_if_disagrees,ready,medium,Bijan Robinson|Jahmyr Gibbs,,Gibbs should sit near Bijan in the elite RB tier; large separation requires receipt-backed explanation,"Bijan Robinson=76.58 (overall 2, RB2, usable); Jahmyr Gibbs=75.31 (overall 3, RB3, usable); value gap is 1.27.","Bijan Robinson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Jahmyr Gibbs: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Gibbs is near Bijan.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_achane_core_004,Achane core RB sanity,expected_tier,ready,high,De'Von Achane,,Achane should be treated as an elite or core dynasty RB unless injury role or confidence receipts explain a downgrade,"De'Von Achane=63.66 (overall 12, RB8, usable); all listed players clear the core-tier review threshold.","De'Von Achane: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Tier expectation is met in preview.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_cmc_age_visible_005,McCaffrey age-dropoff visibility,expected_receipt_explanation,ready,medium,Christian McCaffrey,,McCaffrey may score highly but age and injury/dropoff must appear visibly in receipts,"Christian McCaffrey=32.78 (overall 56, RB14, usable); required receipt sections are present.","Christian McCaffrey: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Receipt visibility expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
rb_jeanty_young_prior_006,Jeanty young prior separation,expected_lifecycle,ready,high,Ashton Jeanty,,Jeanty must be treated as year_one_nfl_bridge or incoming-style young prior and not as established veteran production,"Ashton Jeanty=21.94 (overall 69, RB17, weak); lifecycle labels match fixture expectation.","Ashton Jeanty: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Lifecycle expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_elite_tier_001,Elite WR tier sanity,expected_tier,review,high,Jaxon Smith-Njigba|Puka Nacua|Ja'Marr Chase|Justin Jefferson|Amon-Ra St. Brown|CeeDee Lamb|Malik Nabers,,These players should land in a core or elite WR tier unless receipts show source-backed injury role identity or data problems,"Jaxon Smith-Njigba=50.76 (overall 31, WR9, usable); Puka Nacua=47.64 (overall 37, WR14, usable); Ja'Marr Chase=67.08 (overall 9, WR1, usable); Justin Jefferson=56.63 (overall 23, WR4, usable); Amon-Ra St. Brown=57.93 (overall 19, WR3, usable); CeeDee Lamb=50.51 (overall 32, WR10, usable); Malik Nabers=52.84 (overall 27, WR7, usable); Puka Nacua is below core-tier threshold or has weak confidence.","Jaxon Smith-Njigba: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Puka Nacua: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Ja'Marr Chase: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Justin Jefferson: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Amon-Ra St. Brown: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; CeeDee Lamb: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Malik Nabers: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",data gap,Puka Nacua is below core-tier threshold or has weak confidence.,Inspect source coverage and receipts before changing formulas.
wr_jsn_top_tier_002,JSN top-tier WR sanity,expected_review_if_disagrees,ready,high,Jaxon Smith-Njigba,,JSN should be top-tier WR; if not then the model must explain source gaps role assumptions or formula pressure,"Jaxon Smith-Njigba=50.76 (overall 31, WR9, usable); single-player review threshold is met.","Jaxon Smith-Njigba: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Expected single-player behavior is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_jsn_vs_tee_003,JSN vs Tee Higgins,expected_ordering,ready,high,Jaxon Smith-Njigba|Tee Higgins,,JSN should generally rank above Tee in dynasty value; Tee above JSN is a review finding requiring receipts,"Jaxon Smith-Njigba=50.76 (overall 31, WR9, usable); Tee Higgins=47.27 (overall 39, WR15, usable); listed ordering is met.","Jaxon Smith-Njigba: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior; Tee Higgins: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",acceptable model disagreement,Ordering expectation is met.,No automatic tuning. Keep fixture as review evidence for Phase 3G.
wr_puka_core_004,Puka core WR sanity,expected_tier,review,medium,Puka Nacua,,Puka should remain core or elite unless receipts show verified injury or role collapse,"Puka Nacua=47.64 (overall 37, WR14, usable); Puka Nacua is below core-tier threshold or has weak confidence.","Puka Nacua: receipts=age_dropoff,confidence,first_down_scoring_fit,production,projection,snap_proxy_role,usage_opportunity,young_player_prior",data gap,Puka Nacua is below core-tier threshold or has weak confidence.,Inspect source coverage and receipts before changing formulas.
