metric,value,notes
feature_rows,5518,Rows in expanded feature source.
label_rows,5518,Rows in expanded label source.
matched_feature_label_rows,5518,Rows matched on player_id and target_season.
unmatched_feature_rows,0,Feature rows without label rows.
unmatched_label_rows,0,Label rows without feature rows.
canonical_rows,5518,Rows emitted to V2 parquet.
distinct_gsis_player_ids,1552,GSIS/nflverse IDs used as canonical identity.
gsis_format_rows,5518,Rows with GSIS-style 00-numeric ID.
position_mismatch_rows,0,Feature/target position mismatch rows.
duplicate_identity_season_keys,0,Duplicate player-season-pair keys.
ambiguous_same_name_feature_season_groups,153,Names are audit fields only; no name matching used.
