player_id,player,pos,nfl_team,age,asset_type,position_rank,tier,final_board_rank,dynasty_rank,emergency_candidate_rank,emergency_candidate_value,tuned_cross_asset_rank,tuned_cross_asset_value,direction_vs_frozen_rank,direction_vs_emergency_candidate_rank,confidence_band,value_band,tuned_value_basis,uncertainty_reasons,adp,available_pool_adp_rank,available_pool_adp_range,outcome_applicable_summary,main_reason_to_draft,main_reason_to_pass,human_review_flag
,Jeremiyah Love,RB,ARI,Not enough information,rookie,1,Tier 1 - Priority Draft Targets,1,,1,61.7,1,63.75,similar to frozen,similar to emergency,Medium-low,Priority candidate,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+59.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+5.5; uncertainty_penalty=+4.3,7.9,7,Late 1st equivalent,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Makai Lemon,WR,PHI,Not enough information,rookie,1,Tier 1 - Priority Draft Targets,2,,4,49.2,2,59.1,similar to frozen,similar to emergency,Medium-low,Priority candidate,rookie_rank_tier_percentile_crosswalk; prospect_uncertainty_tempered,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+54.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+7.3,77.4,76,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Carnell Tate,WR,TEN,Not enough information,rookie,2,Tier 1 - Priority Draft Targets,3,,7,48.4,3,56.95,similar to frozen,slightly changed vs emergency,Medium-low,Priority candidate,rookie_rank_tier_percentile_crosswalk; prospect_uncertainty_tempered,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+53.7; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+7.3,44.8,43,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,KC Concepcion,WR,CLE,Not enough information,rookie,3,Tier 1 - Priority Draft Targets,4,,8,46.7,4,54.8,similar to frozen,slightly changed vs emergency,Medium-low,Strong review target,rookie_rank_tier_percentile_crosswalk; prospect_uncertainty_tempered,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+52.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+7.3,82.3,80,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Denzel Boston,WR,CLE,Not enough information,rookie,4,Tier 1 - Priority Draft Targets,6,,10,42.7,5,53.0,similar to frozen,up vs emergency,Medium-low,Strong review target,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+50.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-0.5; uncertainty_penalty=+7.3,103.6,103,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Jadarian Price,RB,SEA,Not enough information,rookie,2,Tier 1 - Priority Draft Targets,5,,9,45.7,6,52.65,similar to frozen,slightly changed vs emergency,Medium-low,Strong review target,rookie_rank_tier_percentile_crosswalk; prospect_uncertainty_tempered,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+51.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+0.5; uncertainty_penalty=+7.3,68.4,67,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Germie Bernard,WR,PIT,Not enough information,rookie,5,Tier 1 - Priority Draft Targets,7,,12,38.2,7,50.85,similar to frozen,up vs emergency,Medium-low,Strong review target,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+45.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-0.5; uncertainty_penalty=+7.3,134.9,134,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Chris Bell,WR,MIA,Not enough information,rookie,6,Tier 1 - Priority Draft Targets,8,,13,36.4,8,48.7,similar to frozen,up vs emergency,Medium-low,Strong review target,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+44.7; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,120.4,119,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
,Zachariah Branch,WR,ATL,Not enough information,rookie,7,Tier 1 - Priority Draft Targets,9,,14,35.6,9,46.55,similar to frozen,up vs emergency,Medium-low,Strong review target,rookie_rank_tier_percentile_crosswalk,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+43.9; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=-1.5; uncertainty_penalty=+7.3,154.7,152,Depth / later,Not enough information,Rookie/prospect upside remains visible after rank/tier crosswalk; consider if comfortable with uncertainty.,Confidence is limited by needs_data/manual-review/source caveats; do not treat score as final truth.,confidence_review|outcome_gap
9997.0,Zay Flowers,WR,BAL,25.8,dropped_veteran,17,Tier 3 - Value/Need Dependent,31,12.0,2,57.03,10,46.47,up meaningfully vs frozen,down vs emergency,Medium,Strong review target,full_dynasty_anchor_plus_frozen_context; young_established_wr_anchor_review,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+56.5; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,67.3,66,Depth / later,Not enough information,Established WR anchor from internal dynasty score; safer comparison base than raw rookie/prospect score.,Passing is reasonable if roster construction or near-term role risk matters more than long-term upside.,outcome_gap
