player,pos,nfl_team,source_presence,final_board_rank,dynasty_rank,age,per_game_signal_available,annual_total_signal_available,games_missed_signal,injury_shortened_year_flag,current_injury_status_available,current_injury_status,recovery_risk_band,chronic_injury_risk_band,injury_data_confidence,outcome_context,warning_or_data_gap,model_treatment_summary,human_review_warning,current_display_likely_misleading
Jameson Williams,WR,DET,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes,42,26.0,25.2,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,WR T12=25%; WR T24=40%; WR T36=58%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Volatility remains; do not treat as risk-free. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Jameson Williams. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Jameson Williams.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: use per-game talent and availability separately; current injury status missing.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Brian Thomas Jr,WR,JAX,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes,63,82.0,Not enough information,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,WR T12=15%; WR T24=23%; WR T36=33%,"missing_stats_first_component_evidence|missing_efficiency_context_evidence|partial_first_down_confidence_cap|missing_stats_first_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Need stats-first component evidence. | missing efficiency context evidence | Need stronger first-down evidence or accept confidence cap. | missing stats first confidence cap | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Review-only; does not replace Final Board Rank. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. No exact local match for Tim name; local universe has possible Brian Thomas (WR, JAX). Preserve Tim name and review identity manually. Identity normalized from Tim/manual name 'brian thomas jr' to Sleeper/local canonical 'Brian Thomas' (WR, JAX); Tim approved alias repair 2026-06-20. Sleeper transaction evidence showed completed drop. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. No exact local match for Tim name; local universe has possible Brian Thomas (WR, JAX). Preserve Tim name and review identity manually. Identity normalized from Tim/manual name 'brian thomas jr' to Sleeper/local canonical 'Brian Thomas' (WR, JAX); Tim approved alias repair 2026-06-20. Sleeper transaction evidence showed completed drop.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: injury/per-game context is incomplete.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Zay Flowers,WR,BAL,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes,31,12.0,25.8,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,WR T12=29%; WR T24=49%; WR T36=66%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Review-only anchor; still compare with Final Board Rank. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Zay Flowers. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Zay Flowers.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: use per-game talent and availability separately; current injury status missing.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Chris Olave,WR,NO,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes,34,14.0,26.0,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,WR T12=35%; WR T24=54%; WR T36=71%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Review-only anchor; verify human preference versus rookies. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Chris Olave. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Chris Olave.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: use per-game talent and availability separately; current injury status missing.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Drake Maye,QB,NE,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes;manual_review_card,40,23.0,23.8,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,QB T12=76%,"partial_first_down_confidence_cap|one_qb_context_balance_upper_band_guard_v2 | Need stronger first-down evidence or accept confidence cap. | one qb context balance upper band guard v2 | 10-team 1QB lowers ceiling versus WR/RB, but prior rank was too buried. | veteran_trust_status=Scored + Warnings; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Drake Maye. | veteran_trust_status=Scored + Warnings; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Drake Maye.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: injury/per-game context is incomplete.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Tyreek Hill,WR,MIA,expanded_draftable_pool,Not on frozen board,Not enough information,32.3,schema/service only,Not enough information,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,Not enough information,LOUD WARNING: not on frozen board; major current-status and age risk. | Not on frozen board; draftable per LVE Rosters page 3.,Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review required: age/status/availability caveat should be loud; do not infer clean health.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Keenan Allen,WR,UNKNOWN,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes;manual_review_card,64,124.0,34.2,schema/service only,outcome/history context only,Not enough information,Not enough information,no,No current NFL team in local status context; not a medical injury status.,Not enough information,Not enough information,LOW,WR T12=19%; WR T24=29%; WR T36=44%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|wr_dynasty_age_curve_after_30_active|wr_mid_30s_age_cliff_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_status_no_team | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | wr dynasty age curve after 30 active | wr mid 30s age cliff active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Local RotoWire source verifies no current NFL team; do not invent a team. | Age/role risk; not a long-term anchor. | veteran_trust_status=Capped Score; nfl_team_unknown; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Keenan Allen. NFL team unavailable in local player universe; manual review required. Tim approved NFL free-agent status with blank/UNKNOWN team acceptable 2026-06-20. Sleeper transaction evidence showed completed drop. | veteran_trust_status=Capped Score; nfl_team_unknown; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Keenan Allen. NFL team unavailable in local player universe; manual review required. Tim approved NFL free-agent status with blank/UNKNOWN team acceptable 2026-06-20. Sleeper transaction evidence showed completed drop.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review required: age/status/availability caveat should be loud; do not infer clean health.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Darren Waller,TE,UNKNOWN,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes;manual_review_card,66,226.0,33.8,schema/service only,outcome/history context only,Not enough information,Not enough information,no,No current NFL team in local status context; not a medical injury status.,Not enough information,Not enough information,LOW,TE T12=21%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|no_premium_te_replacement_level_cap|te_upper_band_guard_v2_te_exception_gate_not_met|te_no_premium_age_curve_after_30_active|te_age_33_plus_cliff_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_status_no_team | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | no premium te replacement level cap | te upper band guard v2 te exception gate not met | te no premium age curve after 30 active | te age 33 plus cliff active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Local RotoWire source verifies no current NFL team; do not invent a team. | Age/retirement/health risk. | veteran_trust_status=Capped Score; nfl_team_unknown; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Darren Waller. NFL team unavailable in local player universe; manual review required. Tim approved NFL free-agent status with blank/UNKNOWN team acceptable 2026-06-20. Sleeper transaction evidence showed completed drop. | veteran_trust_status=Capped Score; nfl_team_unknown; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Darren Waller. NFL team unavailable in local player universe; manual review required. Tim approved NFL free-agent status with blank/UNKNOWN team acceptable 2026-06-20. Sleeper transaction evidence showed completed drop.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review required: age/status/availability caveat should be loud; do not infer clean health.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Rashee Rice,WR,KC,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes,62,79.0,26.2,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,WR T12=26%; WR T24=38%; WR T36=47%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Review-only; does not replace Final Board Rank. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Rashee Rice. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Rashee Rice.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: use per-game talent and availability separately; current injury status missing.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
Jaylen Warren,RB,PIT,expanded_draftable_pool;full_dynasty_source;outcome_context;decision_risk_notes,54,43.0,27.6,schema/service only,outcome/history context only,Not enough information,Not enough information,no,Not enough information,Not enough information,Not enough information,LOW,RB T12=30%; RB T24=53%,"licensed_route_metrics_not_available|not_used_in_stats_first_value|no_historical_evidence_for_component|shifted_header_expected_player_header_inferred|rb_dynasty_age_curve_after_27_active|rb_age_window_caution_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | no historical evidence for component | shifted header expected player header inferred | rb dynasty age curve after 27 active | rb age window caution active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Review-only; does not replace Final Board Rank. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Jaylen Warren. | veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Jaylen Warren.",Do not downgrade season-total-only output as bad player without games/availability context; keep injury risk display-only until sourced.,Manual review recommended: use per-game talent and availability separately; current injury status missing.,YES if users interpret season totals/rank without availability context; no current injury source is wired.
