sleeper_setting,value,classification,redraft_contract,decision
pass_yd,0.04,SUPPORTED_EXACTLY,passing_yards,exact
pass_td,4,SUPPORTED_EXACTLY,passing_td,exact
pass_int,-2,SUPPORTED_EXACTLY,interception,exact
rush_yd,0.1,SUPPORTED_EXACTLY,rushing_yards,exact
rush_td,6,SUPPORTED_EXACTLY,rushing_td,exact
rec_yd,0.1,SUPPORTED_EXACTLY,receiving_yards,exact
rec,1,SUPPORTED_EXACTLY,reception,exact
rec_td,6,SUPPORTED_EXACTLY,receiving_td,exact
fum_lost,-2,SUPPORTED_EXACTLY,fumble_lost,exact
pass_2pt,2,OFFENSIVE_PLAYER_UNSUPPORTED,,BLOCKING
rush_2pt,2,OFFENSIVE_PLAYER_UNSUPPORTED,,BLOCKING
rec_2pt,2,OFFENSIVE_PLAYER_UNSUPPORTED,,BLOCKING
fum_rec,2,UNKNOWN,,BLOCKING
fum_rec_td,6,UNKNOWN,,BLOCKING
fgm_0_19,3,KICKER_ONLY_UNSUPPORTED,,BLOCKING
fgm_20_29,3,KICKER_ONLY_UNSUPPORTED,,BLOCKING
fgm_30_39,3,KICKER_ONLY_UNSUPPORTED,,BLOCKING
fgm_40_49,4,KICKER_ONLY_UNSUPPORTED,,BLOCKING
fgm_50_59,5,KICKER_ONLY_UNSUPPORTED,,BLOCKING
fgm_60p,6,KICKER_ONLY_UNSUPPORTED,,BLOCKING
fgmiss,-1,KICKER_ONLY_UNSUPPORTED,,BLOCKING
xpm,1,KICKER_ONLY_UNSUPPORTED,,BLOCKING
xpmiss,-1,KICKER_ONLY_UNSUPPORTED,,BLOCKING
sack,1,DST_ONLY_UNSUPPORTED,,BLOCKING
int,2,DST_ONLY_UNSUPPORTED,,BLOCKING
ff,1,DST_ONLY_UNSUPPORTED,,BLOCKING
blk_kick,2,DST_ONLY_UNSUPPORTED,,BLOCKING
safe,2,DST_ONLY_UNSUPPORTED,,BLOCKING
def_td,6,DST_ONLY_UNSUPPORTED,,BLOCKING
def_st_td,6,DST_ONLY_UNSUPPORTED,,BLOCKING
def_st_ff,1,DST_ONLY_UNSUPPORTED,,BLOCKING
def_st_fum_rec,1,DST_ONLY_UNSUPPORTED,,BLOCKING
st_td,6,DST_ONLY_UNSUPPORTED,,BLOCKING
st_ff,1,DST_ONLY_UNSUPPORTED,,BLOCKING
st_fum_rec,1,DST_ONLY_UNSUPPORTED,,BLOCKING
pts_allow_0,10,DST_ONLY_UNSUPPORTED,,BLOCKING
pts_allow_1_6,7,DST_ONLY_UNSUPPORTED,,BLOCKING
pts_allow_7_13,4,DST_ONLY_UNSUPPORTED,,BLOCKING
pts_allow_14_20,1,DST_ONLY_UNSUPPORTED,,BLOCKING
pts_allow_28_34,-1,DST_ONLY_UNSUPPORTED,,BLOCKING
pts_allow_35p,-4,DST_ONLY_UNSUPPORTED,,BLOCKING
