player,parsed,matched,included_by_default,candidate_rank,candidate_value,dynasty_rank,adp_or_range,human_review_note
Tyreek Hill,yes,internal model-v4 audit value; player_id/roster metadata; display-only ADP,yes,13,43.51,Not enough information,192.1 / Depth / later,PDF Free Agent / Draftable; candidate value is review-only.
Dallas Goedert,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,149.2 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Juwan Johnson,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,138.9 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Tua Tagovailoa,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,305.4 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Jaylen Wright,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,208.1 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Isaac Guerendo,yes,player_id/roster metadata,yes,Not enough information,Not enough information,Not enough information,Not enough information / Not enough information,Draftable PDF free agent; internal candidate value is Not enough information.
Darnell Mooney,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,231.2 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Rashod Bateman,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,257.5 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Bryce Young,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,193.1 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Anthony Richardson,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,288.5 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Austin Ekeler,yes,player_id/roster metadata,yes,Not enough information,Not enough information,Not enough information,Not enough information / Not enough information,Draftable PDF free agent; internal candidate value is Not enough information.
Marquise Brown,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,256.1 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Cedric Tillman,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,263.6 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Jerome Ford,yes,player_id/roster metadata,yes,Not enough information,Not enough information,Not enough information,Not enough information / Not enough information,Draftable PDF free agent; internal candidate value is Not enough information.
Justice Hill,yes,full dynasty; player_id/roster metadata,yes,36,10.21,196,Not enough information / Not enough information,PDF Free Agent / Draftable; candidate value is review-only.
Ben Sinnott,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,251.9 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Michael Mayer,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,224.2 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Geno Smith,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,335.0 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Marcus Mariota,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,276.1 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Mac Jones,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,384.0 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
Noah Gray,yes,player_id/roster metadata; display-only ADP,yes,Not enough information,Not enough information,Not enough information,262.8 / Depth / later,Draftable PDF free agent; internal candidate value is Not enough information.
