final_board_rank,player,position,nfl_team,final_board_score_visible,final_tier,model_posture_used,depth_chart_role_display_only,warning_severity_display_only,risk_notes,candidate_loudness,loudness_reason,apply_to_live_artifacts
1,Jeremiyah Love,RB,ARI,96.0,Tier 1 - Priority Draft Targets,role_usage_core,RB_PREMIUM_THREE_DOWN|RB_RECEIVING_BACK,none,"manual_question=Does Jeremiyah Love have a credible early-down, goal-line, or first-down role path?",VISIBLE_NOTE,manual_question,NO
2,Makai Lemon,WR,PHI,94.5,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,none,"manual_question=Does Makai Lemon have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
3,Carnell Tate,WR,TEN,93.0,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,none,"manual_question=Is Carnell Tate's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context?",LOUD_BADGE,needs_data,NO
4,KC Concepcion,WR,CLE,91.5,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,none,"manual_question=Does KC Concepcion have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
5,Jadarian Price,RB,SEA,90.0,Tier 1 - Priority Draft Targets,role_usage_core,needs_data: nfl_depth_chart_rush_goal_line_first_down_role,none,"manual_question=Does Jadarian Price have a credible early-down, goal-line, or first-down role path?",LOUD_BADGE,needs_data,NO
6,Denzel Boston,WR,CLE,88.5,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,none,"manual_question=Does Denzel Boston have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
7,Germie Bernard,WR,PIT,87.0,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,none,"manual_question=Does Germie Bernard have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
8,Chris Bell,WR,MIA,85.5,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,soft_note,"rookie_warning=soft_note; manual_question=Does Chris Bell have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
9,Zachariah Branch,WR,ATL,84.0,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,soft_note,"rookie_warning=soft_note; manual_question=Does Zachariah Branch have a credible target-earning path on his NFL depth chart, including route/separation evidence?",LOUD_BADGE,needs_data,NO
10,Antonio Williams,WR,WAS,80.0,Tier 1 - Priority Draft Targets,safe_no_snap_no_depth_rank,needs_data: nfl_depth_chart_target_earning_role,critical_trap_guard,"rookie_warning=critical_trap_guard; manual_question=Does Antonio Williams's NFL draft capital/role (round=3; pick=71; needs_data: nfl_depth_chart_target_earning_role) actually support rank 10, or is this production profile a trap?",CRITICAL_BADGE,manual_review|needs_data|critical_trap_guard,NO
