canonical_universe_id,source_row_ids,player_id,player_name,normalized_name,position,nfl_team,age,age_source,player_type,availability_status,rank_source,dynasty_rank,rookie_rank,frozen_baseline_rank,candidate_rank,unified_display_rank,unified_display_rank_source,tier,tier_source,outcome_context,outcome_status,market_match_status,dp_1qb_value,dp_market_rank,nwr_vs_market_gap,data_quality_status,manual_review_flag,review_status,consolidation_status,consolidation_confidence,conflict_flags,caveats,source_layers,source_files,app_wiring_allowed,model_input_allowed
consolidated-13287,rookie-13287,13287,Jeremiyah Love,jeremiyah love,RB,ARI,21.1,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,1,,,1,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,7363,15.1,-14.1,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Does Jeremiyah Love have a credible early-down, goal-line, or first-down role path? | gaps=routes_per_game|missed_tackles_forced_rate|short_yardage_success_rate|receiving_first_down_rate|rushing_first_down_rate|goal_line_touch_share|injury_history_score | still verify health and role before drafting; do not let missing late injury news slip through | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-9493,veteran-9493,9493,Puka Nacua,puka nacua,WR,LAR,25.1,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,1,,,,1,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,9034,6.4,-5.4,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-9488,veteran-9488,9488,Jaxon Smith-Njigba,jaxon smithnjigba,WR,SEA,24.3,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,2,,,,2,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,9831,2.8,-0.8,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13294,rookie-13294,13294,Makai Lemon,makai lemon,WR,PHI,22.1,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,2,,,2,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,3521,46.5,-42.5,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Does Makai Lemon have a credible target-earning path on his NFL depth chart, including route/separation evidence? | gaps=career_yprr|targets_per_route_run|manufactured_touch_rate|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-9509,veteran-9509,9509,Bijan Robinson,bijan robinson,RB,ATL,24.4,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,3,,,,3,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,9536,4.1,-1.1,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13279,rookie-13279,13279,Carnell Tate,carnell tate,WR,TEN,21.4,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,3,,,3,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,4881,32.6,-27.6,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Is Carnell Tate's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context? | high bust-risk index; gaps=career_yprr|final_season_yprr|targets_per_route_run|route_tree_grade_or_notes|separation_grade_or_notes|press_success_grade_or_notes|manufactured_touch_rate|screen_touch_rate|first_downs_per_target|injury_history_score; low source confidence | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-6813,veteran-6813,6813,Jonathan Taylor,jonathan taylor,RB,IND,27.4,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,4,,,,4,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,6159,22.7,-18.7,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|rb_dynasty_age_curve_after_27_active|rb_age_window_caution_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | rb dynasty age curve after 27 active | rb age window caution active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13298,rookie-13298,13298,KC Concepcion,kc concepcion,WR,CLE,Not enough information,Not enough information,ROOKIE,rookie_pool,ROOKIE_RANK,,4,,,4,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,1889,73,-66,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Does KC Concepcion have a credible target-earning path on his NFL depth chart, including route/separation evidence? | gaps=career_yprr|targets_per_route_run|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13286,rookie-13286,13286,Jadarian Price,jadarian price,RB,SEA,22.7,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,5,,,5,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,1764,75.9,-66.9,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Does Jadarian Price have a credible early-down, goal-line, or first-down role path? | high bust-risk index; gaps=routes_per_game|explosive_run_rate|missed_tackles_forced_rate|short_yardage_success_rate|receiving_first_down_rate|rushing_first_down_rate|goal_line_touch_share|pass_protection_grade_or_notes|injury_history_score | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-9221,veteran-9221,9221,Jahmyr Gibbs,jahmyr gibbs,RB,DET,24.2,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,5,,,,5,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,9013,6.5,-1.5,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-13346,rookie-13346,13346,Denzel Boston,denzel boston,WR,CLE,22.5,rookie verified age audit,ROOKIE,rookie_pool,ROOKIE_RANK,,6,,,6,ROOKIE_RANK,Tier 1 - Priority Targets,Rookie HQ,Not enough information,MISSING,MATCHED,974,101.2,-93.2,GREEN,false,READY,SINGLE_SOURCE,NOT_APPLICABLE,,"manual_question=Does Denzel Boston have a credible target-earning path on his NFL depth chart, including route/separation evidence? | gaps=career_yprr|targets_per_route_run|press_success_grade_or_notes|manufactured_touch_rate|screen_touch_rate|YAC_per_reception | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank.",Rookie/Prospect Layer,docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_overlay_context.csv; docs/draft_day_exports/final_board_v1_20260622/app_props/rookie_hq/rookie_warning_cards.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/hq/parallel_lanes/age_source_audit_20260622/rookie_verified_age_display_20260622.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-7564,veteran-7564,7564,Ja'Marr Chase,jamarr chase,WR,CIN,26.3,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,6,,,,6,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,10232,1.1,4.9,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
consolidated-7547,veteran-7547,7547,Amon-Ra St. Brown,amonra st brown,WR,DET,26.7,DynastyProcess display fallback,VETERAN,OTHER TEAM,FULL_DYNASTY_RANK,7,,,,7,FULL_DYNASTY_RANK,,Not enough information,Not enough information,MISSING,MATCHED,9034,6.4,0.6,MANUAL_REVIEW,true,REVIEW_NEEDED,SINGLE_SOURCE,NOT_APPLICABLE,,"licensed_route_metrics_not_available|not_used_in_stats_first_value|repeated_header_rows_removed=1|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | repeated header rows removed=1 | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate",Veteran Full Dynasty Layer,local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; docs/hq/parallel_lanes/dynastyprocess_market_baseline_20260622/dp_market_baseline_context.csv; docs/hq/data_sources/identity/player_id_coverage_audit_v1.csv,no,no
